vx,vy,wz
8.889413896230398127e-01,-2.329328227831851950e-02,-2.531357801759381854e-01
8.765511531970897607e-01,-6.172373406933572004e-03,-4.829834133866696133e-01
8.814238407579285672e-01,-3.688642691017347819e-02,-4.326556785721678011e-01
8.065966105058413049e-01,-4.796058499983296697e-04,-4.289217043899067883e-01
6.612197732923106308e-01,3.441835700790853159e-02,-4.373538351551434777e-01
7.422291620203406159e-01,-5.215502655824812150e-02,-4.067707008054196605e-01
8.148631609079659555e-01,-1.163702977809600997e-01,-4.326719894100942709e-01
8.315745669898068071e-01,-5.289267816975001812e-03,-3.867974211041785848e-01
8.599616268914958006e-01,5.621338214101898739e-02,-3.910167256944994674e-01
8.928037187401602903e-01,1.259290534509985293e-02,-2.720550713130469034e-01
8.357917849421528933e-01,1.440824076914718789e-02,-3.237664460559715462e-01
9.109301310231843196e-01,-3.707644511031131518e-02,-2.947553060095607358e-01
1.104034071519848448e+00,-5.834391498271453147e-02,-3.244260671132860874e-01
1.130669639000022597e+00,1.064964363643214063e-01,-2.278705328809699504e-01
1.132924076274463454e+00,1.562680283315197871e-01,-1.376500078422411844e-01
1.044019567918402780e+00,8.894262764610799676e-02,-1.581458456270581903e-01
8.692687595015237134e-01,1.073109023788954529e-02,-1.459610889720119320e-01
8.238110890112124718e-01,-1.045676844714028483e-03,-1.107391422414001764e-01
9.793958425646036581e-01,-5.417443808096232376e-03,-9.595278749773507310e-02
1.089948359269742761e+00,-4.432751989990535262e-03,-4.752921801461973406e-02
1.104948631560805694e+00,-4.073750104210148437e-02,-1.598202309205934771e-02
1.172821672612188060e+00,4.875259346449750675e-04,-4.153415134027081679e-02
1.146268100987756000e+00,3.480640958894101744e-02,-1.476533662656487056e-01
1.024059897485463333e+00,4.788738436461904141e-02,1.810775165515983443e-02
1.006918377149534694e+00,-8.237947176039374375e-02,3.750434768794605467e-02
9.730273931454133107e-01,-9.175021495949257921e-02,-4.458202273639694235e-02
9.406439674449084132e-01,-2.656094326726109178e-02,1.941188148086985671e-02
9.057562130406259238e-01,1.899576616982986271e-02,1.086996751059220861e-02
9.324933208489408765e-01,1.075559903979998906e-02,-4.971181183328830105e-02
9.317910578504907670e-01,-3.202674072543335027e-02,8.055549120037185096e-02
9.972430265575936703e-01,-6.965437984647600278e-02,4.941766228607610140e-02
1.049970598922894682e+00,-7.444041648865618033e-02,1.121609766657780394e-01
1.017007025152984800e+00,1.124921097727744207e-02,6.875304631862526328e-02
9.944142586761545166e-01,2.774758788980286398e-02,2.081269821133556741e-01
9.545838231016474662e-01,-6.212758262679308335e-02,2.957538265101009034e-01
9.107954188706142151e-01,-7.553539374886522606e-02,3.281164908623285248e-01
9.745682378501685506e-01,-5.926156668539940553e-03,3.743032983282491566e-01
1.136465035485366037e+00,1.024034450515137612e-01,3.838680114806296562e-01
1.292141707446009091e+00,1.832806197067977372e-01,4.269988064045177611e-01
1.227781750564615137e+00,6.427763070831724046e-02,4.249930933816700729e-01
9.201885725851407516e-01,-8.444789589154200193e-02,6.626359523582359135e-01
8.175349707420754841e-01,-1.191840053921695564e-01,4.652221585754856004e-01
8.800607240149218580e-01,7.975809527598583248e-03,4.077322241131728919e-01
1.005519944159309231e+00,2.449981310539657217e-02,4.829799064252197627e-01
1.047922685715010349e+00,2.745008871076927773e-02,4.944273448238424851e-01
9.205751583529655502e-01,1.867277873859764931e-02,4.473099680222334396e-01
8.756356899748013456e-01,-6.111057511405059567e-02,4.774515620573471231e-01
9.527420894548243036e-01,-6.097434491000739559e-02,5.047459628294401757e-01
1.062112984610715127e+00,2.330094946312432497e-02,5.129918974841171098e-01
1.072768746538495854e+00,8.886667625948622973e-02,4.426034317900153225e-01
1.064897793090700207e+00,1.153094894186087876e-01,4.649934846119577192e-01
1.028006599266793053e+00,-1.458624655785174806e-02,5.191126312624473327e-01
9.496231156111701877e-01,-1.148893211156618299e-01,4.822325980690657099e-01
9.692409166080813154e-01,-3.212865057423745091e-03,4.444896515386949076e-01
1.039098064471819516e+00,1.882485989007195992e-02,4.886133065152010180e-01
1.090042471737588281e+00,-2.964753819458095657e-02,5.491184508640281070e-01
9.898037358161497767e-01,-1.143405413847939228e-01,5.512168721871376631e-01
9.456954822148989637e-01,-1.440264753743843440e-01,5.617542130432804370e-01
9.104901707457738746e-01,-6.537081674597963743e-02,5.135598859135624972e-01
9.000525706154092198e-01,-6.119902268029847603e-02,5.057343117269117450e-01
9.230420264333845104e-01,-5.319058788155150985e-02,5.209669096575616498e-01
1.004149543191660499e+00,4.715464002766310558e-04,4.570818529910228856e-01
1.028756200092616702e+00,1.704574940055723561e-02,4.952396128843228884e-01
9.963252935406088362e-01,-4.086590882969025340e-02,4.998985041761021542e-01
9.778161497436532734e-01,-1.080719654233956023e-01,4.693557282013561816e-01
9.928511223188598578e-01,-7.710895233783179870e-02,4.643060617648537836e-01
9.494548379905271007e-01,-3.633621879042774061e-02,4.313239836838548835e-01
9.509630657064765957e-01,5.237314961545363155e-03,4.916567512222798642e-01
9.435676931954872781e-01,-9.237926614932442243e-03,4.916856156284329926e-01
8.301159223331641135e-01,-1.798913971115392169e-02,4.193696339617852820e-01
8.180450346656544802e-01,-2.087888745402465690e-02,4.624926716978748908e-01
9.684778372278810554e-01,-4.427137673153867803e-02,6.794261544478447101e-01
1.025730798604686189e+00,7.537979151050903937e-02,6.260522548876839011e-01
1.065121367607877012e+00,1.031966904050497930e-01,5.142989107180349073e-01
1.164114300851896378e+00,1.006007353160543877e-01,6.274777481286772929e-01
1.107418625731104500e+00,1.007813321315787908e-01,6.032835462927790271e-01
9.884781540637831432e-01,-5.004347436673645816e-02,5.183360441928470674e-01
9.919448597704636494e-01,-2.555093869862299846e-02,7.020111177048160567e-01
9.868772982816167438e-01,-6.971027287399060579e-03,6.389875764161597749e-01
9.519945223521355526e-01,2.340094234657065161e-02,6.154444912015027969e-01
